symbol,company_name,isin,series,market_cap_cr
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,EQ,5348.96
AHLWEST,Asian Hotels (West) Limited,INE915K01010,BE,0
AIAENG,AIA Engineering Limited,INE212H01026,EQ,40414.25
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ,44873.08
AIRAN,Airan Limited,INE645W01026,EQ,0
AIROLAM,Airo Lam limited,INE801L01010,EQ,0
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,EQ,39096.73
AJAXENGG,Ajax Engineering Limited,INE274Y01021,EQ,6292.95
AJMERA,Ajmera Realty & Infra India Limited,INE298G01035,EQ,2384.18
AJOONI,Ajooni Biotech Limited,INE820Y01021,EQ,0
AKASH,Akash Infra-Projects Limited,INE737W01013,EQ,0
AKCAPIT,AK Capital Services Limited,INE701G01012,EQ,1115.4
AKG,Akg Exim Limited,INE00Y801016,EQ,0
AKI,AKI India Limited,INE642Z01026,EQ,0
AKSHAR,Akshar Spintex Limited,INE256Z01025,EQ,0
AKSHARCHEM,AksharChem India Limited,INE542B01011,BE,0
AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,BE,0
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ,9804.86
ALANKIT,Alankit Limited,INE914E01040,EQ,0
ALBERTDAVD,Albert David Limited,INE155C01010,EQ,0
ALEMBICLTD,Alembic Limited,INE426A01027,EQ,2237.85
ALFREDHE,Alfred Herbert India Limited,INE782D01027,EQ,0
ALGOQUANT,Algoquant Fintech Limited,INE598D01035,EQ,1580.6
ALICON,Alicon Castalloy Limited,INE062D01024,EQ,1062.67
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,EQ,12850.21
ALKALI,Alkali Metals Limited,INE773I01017,EQ,0
ALKEM,Alkem Laboratories Limited,INE540L01014,EQ,63322.22
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,EQ,9362.94
ALLCARGO,Allcargo Logistics Limited,INE418H01029,EQ,1334.52
ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ,1247.64
ALLTIME,All Time Plastics Limited,INE0GV601021,EQ,1518.14
